epsilon,min_phase_len,use_offline_slack,horizon,m_off,m_onl,seed_count,total_objective_mean,offline_failures,online_failures,valid
0.25,20,False,100,0,100,50,150.15240492664444,0,0,True
0.25,20,False,150,0,150,50,225.58966590673882,0,0,True
0.25,25,True,60,0,60,50,89.96217917046418,0,0,True
0.25,25,True,100,0,100,50,150.15240492664444,0,0,True
0.25,25,True,150,0,150,50,225.58966590673882,0,0,True
0.25,25,False,60,0,60,50,89.96217917046418,0,0,True
0.25,25,False,100,0,100,50,150.15240492664444,0,0,True
0.25,25,False,150,0,150,50,225.58966590673882,0,0,True
0.25,30,True,60,0,60,50,89.96217917046418,0,0,True
0.25,30,True,100,0,100,50,150.11134951094493,0,0,True
0.25,30,True,150,0,150,50,225.58966590673882,0,0,True
0.25,30,False,60,0,60,50,89.96217917046418,0,0,True
0.25,30,False,100,0,100,50,150.11134951094493,0,0,True
0.25,30,False,150,0,150,50,225.58966590673882,0,0,True
0.3,1,True,60,0,60,50,89.97949220076333,0,0,True
0.3,1,True,100,0,100,50,150.1951694919561,0,0,True
0.3,1,True,150,0,150,50,226.49718751974945,0,0,True
0.3,1,False,60,0,60,50,89.97949220076333,0,0,True
0.3,1,False,100,0,100,50,150.1951694919561,0,0,True
0.3,1,False,150,0,150,50,226.49718751974945,0,0,True
0.3,5,True,60,0,60,50,89.97949220076333,0,0,True
0.3,5,True,100,0,100,50,150.1951694919561,0,0,True
0.3,5,True,150,0,150,50,226.49718751974945,0,0,True
0.3,5,False,60,0,60,50,89.97949220076333,0,0,True
0.3,5,False,100,0,100,50,150.1951694919561,0,0,True
0.3,5,False,150,0,150,50,226.49718751974945,0,0,True
0.3,10,True,60,0,60,50,89.97949220076333,0,0,True
0.3,10,True,100,0,100,50,150.1951694919561,0,0,True
0.3,10,True,150,0,150,50,226.49718751974945,0,0,True
0.3,10,False,60,0,60,50,89.97949220076333,0,0,True
0.3,10,False,100,0,100,50,150.1951694919561,0,0,True
