epsilon,min_phase_len,use_offline_slack,horizon,m_off,m_onl,seed_count,total_objective_mean,total_objective_sum,offline_failures,online_failures,valid
0.05,15,True,150,0,150,50,224.7303347486517,33709.550212297756,0,0,True
0.05,15,False,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.05,15,False,100,0,100,50,150.0189865144713,15001.898651447129,0,0,True
0.05,15,False,150,0,150,50,224.7303347486517,33709.550212297756,0,0,True
0.05,20,True,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.05,20,True,100,0,100,50,150.0151250936992,15001.512509369919,0,0,True
0.05,20,True,150,0,150,50,224.6701040417787,33700.5156062668,0,0,True
0.05,20,False,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.05,20,False,100,0,100,50,150.0151250936992,15001.512509369919,0,0,True
0.05,20,False,150,0,150,50,224.6701040417787,33700.5156062668,0,0,True
0.1,1,True,60,0,60,50,89.96408386313516,5397.84503178811,0,0,True
0.1,1,True,100,0,100,50,150.05160443226538,15005.160443226538,0,0,True
0.1,1,True,150,0,150,50,224.84684167906246,33727.026251859366,0,0,True
0.1,1,False,60,0,60,50,89.96408386313516,5397.84503178811,0,0,True
0.1,1,False,100,0,100,50,150.05160443226538,15005.160443226538,0,0,True
0.1,1,False,150,0,150,50,224.84684167906246,33727.026251859366,0,0,True
0.1,2,True,60,0,60,50,89.96408386313516,5397.84503178811,0,0,True
0.1,2,True,100,0,100,50,150.05160443226538,15005.160443226538,0,0,True
0.1,2,True,150,0,150,50,224.84684167906246,33727.026251859366,0,0,True
0.1,2,False,60,0,60,50,89.96408386313516,5397.84503178811,0,0,True
0.1,2,False,100,0,100,50,150.05160443226538,15005.160443226538,0,0,True
0.1,2,False,150,0,150,50,224.84684167906246,33727.026251859366,0,0,True
0.1,5,True,60,0,60,50,89.96408386313516,5397.84503178811,0,0,True
0.1,5,True,100,0,100,50,150.05160443226538,15005.160443226538,0,0,True
0.1,5,True,150,0,150,50,224.84684167906246,33727.026251859366,0,0,True
0.1,5,False,60,0,60,50,89.96408386313516,5397.84503178811,0,0,True
0.1,5,False,100,0,100,50,150.05160443226538,15005.160443226538,0,0,True
0.1,5,False,150,0,150,50,224.84684167906246,33727.026251859366,0,0,True
0.1,10,True,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.1,10,True,100,0,100,50,150.05160443226538,15005.160443226538,0,0,True
0.1,10,True,150,0,150,50,224.84684167906246,33727.026251859366,0,0,True
